Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,688199926108,body_html,en,,,"<p>Mahjong is a traditional Chinese game that has become popular worldwide, known for its strategic depth and rich cultural significance. There are many regional variations of Mahjong, each with its own rules and scoring system.</p>
<p><a href=""https://www.philosshop.de/media/spielanleitungen/3166.pdf"" target=""_blank"" rel=""noopener"">Ladda ner regler</a></p>
<p> </p>","<p>Mahjong är ett traditionellt kinesiskt spel som har blivit populärt över hela världen, känt för sin strategiska djup och rika kulturella betydelse. Det finns många regionala variationer av Mahjong, var och en med sina egna regler och poängsystem.</p>
<p><a title=""Download the rules"" href=""https://www.philosshop.de/media/spielanleitungen/3166.pdf"" target=""_blank"" rel=""noopener"">Download the rules</a></p>
<p> </p>"
COLLECTION,688199926108,meta_title,en,,,Mahjong – Klassiskt strategispel från Kina | Dragon’s Lair,Mahjong – The Classic Strategy Game from China | Dragon’s Lair
COLLECTION,688199926108,meta_description,en,,,"Spela Mahjong, det tidlösa kinesiska spelet! Hitta vackra mahjongset med brickor i hög kvalitet, perfekta för både nybörjare och experter.","Play Mahjong, the timeless Chinese game! Find beautifully crafted mahjong sets with high-quality tiles, perfect for beginners and experts alike."
COLLECTION,688199958876,title,en,,,Domino & varianter,Domino & versions
COLLECTION,688199958876,meta_title,en,,,Domino & varianter – Klassiska och moderna spel med brickor | Dragon’s Lair,Domino & Variants – Classic and Modern Tile Games | Dragon’s Lair
COLLECTION,688199958876,meta_description,en,,, Upptäck Domino och dess varianter! Från klassiska spel till strategiska utmaningar – hitta det perfekta dominosetet för alla tillfällen.,Discover Domino and its many variations! From classic play to strategic challenges—find the perfect domino set for any occasion.
COLLECTION,688199991644,title,en,,,Abstrakta spel,Abstract games
COLLECTION,688200024412,title,en,,,Klassiker,Classic
COLLECTION,688200024412,meta_title,en,,,Moderna klassiker & nostalgiska favoriter – Spel för alla | Dragon’s Lair,Modern Classics & Nostalgic Favorites – Games for Everyone | Dragon’s Lair
COLLECTION,688200024412,meta_description,en,,, Upptäck moderna klassiker och nostalgiska favoriter! Från tidlösa spel du minns till nyare succéer – perfekta för spelkvällar med familj & vänner.,Discover modern classics and nostalgic favorites! From timeless games you remember to recent hits – perfect for family and friend game nights.
COLLECTION,688200057180,title,en,,,Familjespel,Family games
COLLECTION,688200057180,meta_title,en,,,Familjespel – Roliga brädspel för hela familjen | Dragon’s Lair, Family Board Games – Fun Games for All Ages | Dragon’s Lair
COLLECTION,688200057180,meta_description,en,,,Hitta de bästa familjespelen för alla åldrar! Upptäck roliga och engagerande brädspel som passar både små och stora spelare. Beställ idag!,Find the best family board games for all ages! Discover fun and engaging games that bring everyone together. Shop now for a great game night!
COLLECTION,688200122716,title,en,,,"Arméer, slag och dueller","Armies, battles and duels"
COLLECTION,688200122716,meta_title,en,,,"Strategi & Strid – Spel med arméer, slag & dueller | Dragon’s Lair","Strategy & Combat – Army, Battle & Duel Games | Dragon’s Lair"
COLLECTION,688200122716,meta_description,en,,," Led din armé till seger! Strategiska spel med episka slag, taktiska dueller och storskaliga krig. Erövra slagfältet – spela idag!","Lead your army to victory! Strategic games with epic battles, tactical duels, and large-scale warfare. Conquer the battlefield – play today!"
COLLECTION,688200089948,title,en,,,Äventyr och Kampanjer,Adventure and Campaigns
COLLECTION,688200089948,meta_title,en,,,Äventyrs- & kampanjspel – Episka berättelser & långsiktiga utmaningar | Dragon’s Lair,Adventure & Campaign Games – Epic Stories & Long-Term Challenges | Dragon’s Lair
COLLECTION,688200089948,meta_description,en,,," Ge dig ut på storslagna äventyr! Spela kampanjspel där varje val påverkar historien – magi, strider och episka uppdrag väntar."," Embark on legendary adventures! Play campaign games where your choices shape the story – magic, battles, and epic quests await."
COLLECTION,688200155484,title,en,,,"Fantasy, Sci-Fi & Äventyrsspel","Fantasy, Sci-Fi & Adventure Games"
COLLECTION,688200155484,meta_title,en,,, Sci-Fi & Fantasy-spel – Episka äventyr & rymdsagor | Dragon’s Lair, Sci-Fi & Fantasy Games – Epic Adventures & Space Sagas | Dragon’s Lair
COLLECTION,688200155484,meta_description,en,,,"Kliv in i fantastiska världar med Dragon’s Lair. Brett utbud av sci-fi, fantasy och äventyrsspel för alla åldrar. Perfekt för fantasifulla spelkvällar!
","Step into incredible worlds! Explore sci-fi & fantasy games filled with magic, space adventures, and epic battles. Perfect for immersive game nights!"
COLLECTION,688200188252,title,en,,,Spel för två,Games for two
COLLECTION,688200188252,meta_title,en,,, Spel för två – Perfekta dueller & samarbeten | Dragon’s Lair, Two-Player Games – Perfect Duels & Cooperative Play | Dragon’s Lair
COLLECTION,688200188252,meta_description,en,,,Utmana eller samarbeta med en vän! Upptäck de bästa spelen för två spelare – från strategiska dueller till spännande samarbetsspel.,Challenge or team up with a friend! Discover the best two-player games – from strategic duels to exciting cooperative experiences.
COLLECTION,688200221020,title,en,,,Go & Go Bang,Go & Go Bang
COLLECTION,688200221020,body_html,en,,,"<p>Go är ett fascinerande strategispel för två spelare.</p>
<p>Tack vare de få reglerna är Go mycket lätt att förstå, men har ett oändligt antal variationer under spelets gång.</p>
<p> </p>
<p><a href=""https://www.philosshop.de/media/spielanleitungen/3210.pdf"" target=""_blank"" rel=""noopener"">Ladda ner reglerna</a></p>","<p>Go is a fascinating strategy game for two players.</p>
<p>Thanks to the few rules, Go is very easy to understand, but has an infinite number of variations in the course of the game.<br><br><a href=""https://www.philosshop.de/media/spielanleitungen/3210.pdf"" target=""_blank"" rel=""noopener"">Download the rules</a></p>"
COLLECTION,688200221020,meta_title,en,,,Go & Go Bang – Strategiska klassiker från Östasien | Dragon’s Lair, Go & Go Bang – Classic Strategy Games from East Asia | Dragon’s Lair
COLLECTION,688200221020,meta_description,en,,," Utmana din strategi med Go och Go Bang! Två klassiska brädspel där taktik, planering och skarpa drag avgör spelet."," Test your strategy with Go and Go Bang! Two classic board games where tactics, planning, and sharp moves decide the game."
COLLECTION,688200253788,title,en,,,Mindre bräden och resestorlek,Small and travel size
COLLECTION,688200286556,title,en,,,Större bräden,Large size
COLLECTION,688200319324,title,en,,,Medium bräden,Medium Size
COLLECTION,688200384860,title,en,,,Läder / Plysch ,Leather / Velour
COLLECTION,688200352092,title,en,,,Backgammon,Backgammon
COLLECTION,688200352092,body_html,en,,,"<p>Backgammon är ett klassiskt brädspel för två personer där målet är att flytta alla sina pjäser runt brädet och ut ur spelplanen före motståndaren. Spelet börjar med att spelpjäserna placeras enligt en specifik startuppställning.</p>
<p>Spelarna kastar två tärningar och flyttar sina pjäser baserat på summan av tärningskasten. Pjäser kan ""slå ut"" motståndarens pjäser om de landar på samma plats, vilket tvingar den utslagna pjäsen att börja om från början.</p>
<p>Den spelare som först får bort alla sina pjäser från brädet vinner spelet.</p>
<p><a href=""https://www.philosshop.de/media/spielanleitungen/Backgammon.pdf"" target=""_blank"" rel=""noopener""> Ladda ner reglerna</a></p>","<p>Backgammon is a classic board game for two players where the objective is to move all of your pieces around the board and off the board before your opponent does.</p>
<p>The game starts with the pieces placed in a specific setup. Players roll two dice and move their pieces based on the sum of the dice rolls. Pieces can ""hit"" the opponent's pieces if they land on the same spot, sending the hit piece back to the beginning.</p>
<p>The first player to remove all their pieces from the board wins the game.<br>  <br><a href=""https://www.philosshop.de/media/spielanleitungen/Backgammon.pdf"" target=""_blank"" rel=""noopener"">Download rules</a></p>"
COLLECTION,688200352092,meta_title,en,,,Backgammon – Ett tidlöst strategispel | Dragon’s Lair,Backgammon – A Timeless Strategy Game | Dragon’s Lair
COLLECTION,688200352092,meta_description,en,,,"Spela Backgammon, ett av världens äldsta strategispel! Hitta vackra bräden och set för både nybörjare och erfarna spelare.","Play Backgammon, one of the world’s oldest strategy games! Find beautiful boards and sets for both beginners and experienced players."
COLLECTION,688200417628,title,en,,,Solospel,Solo play
COLLECTION,688200417628,meta_title,en,,, Solospel – Spel att njuta av på egen hand | Dragon’s Lair,Solo Games – Enjoy a Challenge on Your Own | Dragon’s Lair
COLLECTION,688200417628,meta_description,en,,,"Spela när du vill, hur du vill! Upptäck solospel där du kan utmana dig själv i strategi, pussel och äventyr – perfekt för egentid.","Play when you want, how you want! Discover solo games that let you challenge yourself in strategy, puzzles, and adventures – perfect for alone time."
COLLECTION,688200450396,title,en,,,Tillbehör,Accessories
COLLECTION,688200483164,title,en,,,Reseformat,Travel size
COLLECTION,688200515932,title,en,,,Större bräden,Large size
COLLECTION,688200548700,title,en,,,Ej klassiskt utseende,Not the classic look
COLLECTION,688200614236,title,en,,,Schackspel,Chess games
COLLECTION,688200614236,body_html,en,,,"<p>Schack har enkla regler, är inte svårt att lära sig och du kan börja spela snabbt. Trots detta är schack mycket mångsidigt, komplext och kräver koncentration och strategi.</p>
<p><a href=""https://www.philosshop.de/media/spielanleitungen/Schach.pdf"" target=""_blank"" rel=""noopener"">Ladda ner reglerna</a></p>","<p>Chess has simple rules, is not difficult to learn and you can start playing quickly. Nevertheless, chess is very versatile, complex and demanding.</p>
<p>Chess is known all over the world, is recognized as a sport and is also fun. </p>
<p><a href=""https://www.philosshop.de/media/spielanleitungen/Schach.pdf"" target=""_blank"" rel=""noopener"">Download rules</a></p>"
COLLECTION,688200614236,meta_title,en,,, Schack – Klassisk strategi & taktiskt mästerskap | Dragon’s Lair, Chess – Classic Strategy & Tactical Mastery | Dragon’s Lair
COLLECTION,688200614236,meta_description,en,,,"Testa din strategi i det klassiska spelet Schack! Hitta schackbräden, pjäser och exklusiva set för nybörjare och mästare."," Test your strategy in the classic game of Chess! Find chess boards, pieces, and premium sets for beginners and grandmasters alike."
COLLECTION,688200581468,title,en,,,Sällskapsspel och brädspel för en eller två spelare,Party and board games for one or two players
COLLECTION,688200581468,meta_title,en,,,Sällskapsspel & brädspel för en eller två spelare,Party & board games for one or two players
COLLECTION,688200581468,meta_description,en,,,"Upptäck de bästa spelen för en eller två spelare! Perfekt för solospel eller intensiva dueller. Strategi, pussel och äventyr – hitta ditt favoritspel!","Discover the best solo and two-player games! Perfect for solo adventures or intense duels. Strategy, puzzles, and co-op – find your next favorite game!"
COLLECTION,688200647004,title,en,,,Snacka och Bluffa,Talk fast and Bluff
COLLECTION,688200647004,meta_title,en,,,Snacka & Bluffa – Spel där ord och taktik avgör | Dragon’s Lair,Talk & Bluff – Games Where Words and Strategy Win | Dragon’s Lair
COLLECTION,688200647004,meta_description,en,,,"Kan du övertyga, ljuga och lura dina vänner? Spela snack- och bluffspel där list, retorik och strategi avgör vem som vinner!"," Can you convince, deceive, and outsmart your friends? Play talk-and-bluff games where wit, persuasion, and strategy determine the winner!"
COLLECTION,688200679772,title,en,,,Rita och Gissa,Draw and Guess
COLLECTION,688200679772,meta_title,en,,, Rita & Gissa – Kreativa och roliga sällskapsspel | Dragon’s Lair,Draw & Guess – Creative and Fun Party Games | Dragon’s Lair
COLLECTION,688200679772,meta_description,en,,,Sätt pennan mot pappret och låt fantasin flöda! Spela rita- och gissaspel där snabba skisser och vilda gissningar leder till skratt.,Grab a pen and let your imagination run wild! Play draw-and-guess games where quick sketches and wild guesses lead to laughter.
COLLECTION,688200712540,title,en,,,Ordspel och Associationer,Word Games and Associations
COLLECTION,688200712540,meta_title,en,,,Ordspel och Associationer | Roliga ordspel för alla | Dragon’s Lair,Word Games & Associations | Fun Word Games for Everyone | Dragon’s Lair
COLLECTION,688200712540,meta_description,en,,,"Upptäck ordspel och associationsspel som är enkla att lära och roliga att spela tillsammans. Perfekt för familj, vänner och spelkvällar.","Discover word games and association games that are easy to learn and fun to play together. Perfect for families, friends and game nights."
COLLECTION,688200745308,title,en,,,Party- och festspel,Party- och festspel
COLLECTION,688200745308,meta_title,en,,,Party- och festspel | Dragon’s Lair,Party board games | Dragon's Lair
COLLECTION,688200745308,meta_description,en,,,"Höj stämningen med party- och festspel! Perfekta spel för fest, familjekvällar och middagar – garanterat skratt och spännande dueller!","Höj stämningen med party- och festspel! Perfekta spel för fest, familjekvällar och middagar – garanterat skratt och spännande dueller!"
COLLECTION,688200778076,title,en,,,Arcane Tinmen - Klara,Arcane Tinmen - Klara
COLLECTION,688200810844,title,en,,,Övriga märken - Blandat,Övriga märken - Blandat
COLLECTION,688200843612,title,en,,,Arcane Tinmen - Matta,Arcane Tinmen - Matta
COLLECTION,688200876380,title,en,,,Gamegenic - Matta,Gamegenic - Matta
COLLECTION,688200909148,title,en,,,Gamegenic - Klara,Gamegenic - Klara
COLLECTION,688200941916,title,en,,,Sleevy - Klara,Sleevy - Klara
COLLECTION,688201007452,title,en,,,Sleevy - Matta,Sleevy - Matta
COLLECTION,688201040220,title,en,,,Sleeve Kings,Sleeve Kings
COLLECTION,688201072988,title,en,,,Plastfickor till Brädspel,Sleeves for board games
COLLECTION,688201072988,meta_title,en,,,Plastfickor till Brädspel – Skydda dina kort och komponenter | Dragon’s Lair,Board Game Sleeves – Protect Your Cards & Components | Dragon’s Lair
COLLECTION,688201072988,meta_description,en,,,"Bevara och skydda dina brädspelskomponenter! Upptäck plastfickor för kort, pengar och andra delar till dina brädspel."," Preserve and protect your board game components! Discover sleeves for cards, money, and other parts of your board games."
COLLECTION,688201105756,title,en,,,Förvaringslösningar och Inserts ,Storage solutions and Inserts
COLLECTION,688201105756,meta_title,en,,,Förvaringslösningar & Inserts – Håll ordning på dina brädspel | Dragon’s Lair,Storage Solutions & Inserts – Keep Your Board Games Organized | Dragon’s Lair
COLLECTION,688201105756,meta_description,en,,, Organisera och skydda dina brädspel med förvaringslösningar och inserts. Perfekt för att hålla spelkomponenter i ordning och skydda din samling., Organize and protect your board games with storage solutions and inserts. Perfect for keeping game components in order and protecting your collection.
COLLECTION,688201138524,title,en,,,Tillbehör och tärningspåsar,Accessories and dice bags
COLLECTION,688201138524,meta_title,en,,,Tillbehör & Tärningspåsar – Förvara och organisera dina tärningar | Dragon’s Lair,Accessories & Dice Bags – Store & Organize Your Dice | Dragon’s Lair
COLLECTION,688201138524,meta_description,en,,,"Hitta tärningspåsar, marker och andra tillbehör för brädspel och rollspel. Perfekta för att hålla ordning på dina tärningar och spelkomponenter.","Find dice bags, markers, and other accessories for board games and role-playing. Perfect for keeping your dice and game components organized.
"
COLLECTION,688201171292,title,en,,,Spelmattor till brädspel,Spelmattor till brädspel
COLLECTION,688201171292,meta_title,en,,,Spelmattor till Brädspel – Skapa en bättre spelupplevelse | Dragon’s Lair,Board Game Mats – Enhance Your Gaming Experience | Dragon’s Lair
COLLECTION,688201171292,meta_description,en,,, Förbättra din spelupplevelse med spelmattor! Upptäck vackra och funktionella mattor som gör dina brädspel mer organiserade och bekväma., Upgrade your gaming experience with board game mats! Discover beautiful and functional mats that make your board games more organized and comfortable.
COLLECTION,688201204060,title,en,,,Uppgraderingar till spel,Upgrades to games
COLLECTION,688201204060,meta_title,en,,,Uppgraderingar till spel – Förbättra din spelupplevelse | Dragon’s Lair, Game Upgrades – Enhance Your Gaming Experience | Dragon’s Lair
COLLECTION,688201204060,meta_description,en,,,"Ta ditt spelande till nästa nivå! Upptäck uppgraderingar till brädspel och kortspel, från nya komponenter till exklusiva tillägg.","Take your gaming to the next level! Discover game upgrades for board games and card games, from new components to exclusive expansions."
COLLECTION,688201236828,title,en,,,Plastfickor och Förvaring,Sleeves and Storage
COLLECTION,688201236828,meta_title,en,,,Plastfickor & Förvaring – Skydda och organisera dina kort & spel | Dragon’s Lair,Card Sleeves & Storage – Protect & Organize Your Games | Dragon’s Lair
COLLECTION,688201236828,meta_description,en,,,"Håll dina kort i toppskick! Upptäck plastfickor, lådor och förvaring för samlarkort, brädspelstillbehör och figurer.","Keep your cards in top condition! Discover sleeves, boxes, and storage solutions for trading cards, board game accessories, and miniatures."
COLLECTION,688201269596,title,en,,,Dold Förrädare,Hidden Traitor
COLLECTION,688201269596,meta_title,en,,,"Dolda förrädare – Strategi, svek & socialt spel | Dragon’s Lair","Hidden Traitor Games – Strategy, Deception & Social Play | Dragon’s Lair"
COLLECTION,688201269596,meta_description,en,,,"Kan du lita på dina medspelare? Spela brädspel med dolda förrädare där bluff, allianser och strategi avgör vem som vinner.","Can you trust your teammates? Play hidden traitor board games where bluffing, alliances, and strategy determine the winner."
COLLECTION,688201302364,title,en,,,Kampanj och Scenariospel,Campaign and Scenario games
COLLECTION,688201302364,meta_title,en,,,Kampanj- & scenariospel – Episka berättelser & långsiktiga utmaningar | Dragon’s Lair,Campaign & Scenario Games – Epic Stories & Long-Term Challenges | Dragon’s Lair
COLLECTION,688201302364,meta_description,en,,,Fördjupa dig i berättelsedrivna brädspel! Kampanj- och scenariospel bjuder på långa äventyr där dina val påverkar historien.,Immerse yourself in story-driven board games! Campaign and scenario games offer long-term adventures where your choices shape the narrative.
COLLECTION,688201335132,title,en,,,Återspelbara samarbetsspel,Replayable Co-op Games
COLLECTION,688201335132,meta_title,en,,,Omspelbara spel – Klassiska favoriter att spela igen och igen | Dragon’s Lair,Replayable Games – Classic Favorites to Play Again & Again | Dragon’s Lair
COLLECTION,688201335132,meta_description,en,,, Upptäck spel som aldrig blir gamla! Våra omspelbara spel bjuder på oändlig spelglädje och passar perfekt för alla spelkvällar., Discover games that never get old! Our replayable games offer endless fun and are perfect for every game night.
COLLECTION,688201367900,title,en,,,Unlock,Unlock
COLLECTION,688201367900,meta_title,en,,,Unlock! – Escape Room-spelet fullt av mysterier | Dragon’s Lair,Unlock! – The Escape Room Game Full of Mystery | Dragon’s Lair
COLLECTION,688201367900,meta_description,en,,," Lös kluriga pussel och fly verkligheten med Unlock! Ett Escape Room-inspirerat kortspel där tid, logik och samarbete är nyckeln till frihet."," Solve tricky puzzles and escape reality with Unlock! An Escape Room-inspired card game where time, logic, and teamwork are the keys to freedom."
COLLECTION,688201400668,title,en,,,EXIT – The Game,EXIT – The Game
COLLECTION,688201400668,meta_title,en,,,EXIT – Escape Room-spelet du kan spela hemma | Dragon’s Lair,EXIT – The Escape Room Game You Can Play at Home | Dragon’s Lair
COLLECTION,688201400668,meta_description,en,,," Ta dig ut innan tiden är ute! EXIT är Escape Room-spelet där du löser pussel, knäcker koder och samarbetar för att fly.","Can you escape in time? EXIT is the Escape Room game where you solve puzzles, crack codes, and work together to break free."
COLLECTION,688201433436,title,en,,,Escape Room Spel,Escape Room Games
COLLECTION,688201433436,body_html,en,,,"<p>Escape room brädspel gör att du kan ta hem känslan av ett riktigt escape room – fullt av gåtor, koder och pussel som väntar på att lösas. Det är en spelupplevelse som gjort succé världen över, och nu kan du kliva rakt in i mysteriet direkt hemma vid bordet.</p>
<p>På Dragon’s Lair hittar du ett brett urval av escape room-spel i form av brädspel, sällskapsspel, <a href=""/advanced_search_result.php?search_in_description=1&amp;keywords=exit+pussel"">pussel </a>och till och med adventskalendrar. Här finns allt du behöver för att skapa en egen escape room-utmaning hemma – oavsett om du spelar själv, med familjen eller med en större grupp. Hitta ditt nästa äventyr och ge dig in i ett spel där varje ledtråd räknas.</p>","<p>Escape room games let you step straight into a mystery – filled with codes, clues and puzzles waiting to be solved. It’s a worldwide phenomenon, and now you can bring the full experience right to your kitchen table.</p>
<p>At Dragon’s Lair, you’ll find a wide selection of escape room games in the form of board games, party games, <a href=""/advanced_search_result.php?search_in_description=1&amp;keywords=exit%20puzzle&amp;language=en"">puzzles </a>and even<a href=""/advanced_search_result.php?search_in_description=1&amp;keywords=advent%20kalender&amp;language=en""> advent calendars</a>. Everything you need to create your own escape room experience at home is right here, whether you want to play solo or with a small or large group. Discover your next challenge and dive into a game where every clue matters.</p>"
COLLECTION,688201433436,meta_title,en,,,Escape Room spel,Escape Room Games
COLLECTION,688201433436,meta_description,en,,,"Köp Escape Room-spel hos Dragon’s Lair. Skapa ett escape room hemma med kluriga gåtor och pussel för en spännande spelkväll, för dig, vänner och familj!
","Can you crack the case? Play Escape Room and Murder Mystery games where you solve clues, break codes, and uncover the truth!"
COLLECTION,688201466204,title,en,,,Pussellådor och Presentaskar i Trä,Wooden Puzzle Boxes and Gift Boxes
COLLECTION,688201466204,meta_title,en,,, Escape-pussel i trä – Kluriga utmaningar i vackert hantverk | Dragon’s Lair, Wooden Escape Puzzles – Intriguing Challenges in Elegant Craftsmanship | Dragon’s Lair
COLLECTION,688201498972,title,en,,,Post Mortem - Mysterious Package Company,Post Mortem - Mysterious Package Company
COLLECTION,688201498972,meta_title,en,,,Post Mortem – Interaktiva mordmysterier och deckarspel | Dragon’s Lair,Post Mortem – Interactive Murder Mystery Games | Dragon’s Lair
COLLECTION,688201498972,meta_description,en,,,"Upptäck Post Mortem – prisbelönta mordmysterier fulla av ledtrådar, pussel och berättande. Spela solo eller i grupp!","Discover Post Mortem – award-winning murder mysteries packed with puzzles, clues, and story. Play solo or with friends!

"
COLLECTION,688201531740,title,en,,,Hidden Reality & Murder Mystery Spel,Hidden Reality & Murder Mystery Spel
COLLECTION,688201531740,body_html,en,,,"<p>Hidden Reality bjuder in till en uppslukande värld av mordgåtor att lösa hemma. Spelen är skapade av ett göteborgsgäng som verkligen kan sin sak. Varje fall kommer i ett litet brunt kuvert fyllt med vittnesmål, tidningsartiklar, foton och andra detaljer som får allt att kännas som ett riktigt cold case. Du bläddrar, analyserar och pusslar ihop ledtrådar tills du tror dig ha knäckt gåtan. När du känner dig redo öppnar du det orange kuvertet med facit.</p>
<p>För oss på Dragon’s Lair är Hidden Reality lite extra speciellt. Vi var deras första återförsäljare i Sverige och fastnade direkt för hur smart och genomtänkt deras spel är. Idag har de vuxit till att bli ett av landets mest populära alternativen för dig som älskar mordmysterier, samarbetsspel och kluriga berättelser.</p>
<p>Det här är kategorin för dig som vill försvinna in i en berättelse för en kväll, få hjärnan att jobba och kanske diskutera vilt med vänner om vem som egentligen gjorde det. Perfekt till hemmakvällen, spelträffen eller som present till någon med en liten detektiv inom sig. Let the case begin!</p>","<p>Hidden Reality offers immersive murder mystery experiences designed to be played at home. Each case comes in a small brown envelope packed with witness statements, newspaper clippings, photos, and other details that make the investigation feel like a true cold case. You read through the material, connect the dots, and try to figure out what really happened. When you’re ready, you open the orange envelope to check the solution.</p>
<p>Hidden Reality is especially close to our hearts at Dragon’s Lair. We were the very first retailer to reach out and bring their games into our store, simply because we believed in them from day one. Since then, the creators from Gothenburg have grown rapidly, and their cases have become some of Sweden’s most popular at-home mystery games.</p>
<p>Please note that most Hidden Reality cases are currently available only in Swedish. The exception is Mannen på åkern, which has also been released in English under the title The Man on the Field. If you enjoy mysteries, cooperative puzzling, and stories that pull you in, this is the perfect place to start. Happy investigating!</p>"
COLLECTION,688201531740,meta_title,en,,,Hidden Reality och Murder Mystery spel,Hidden Reality and Murder Mystery games
COLLECTION,688201531740,meta_description,en,,,Upptäck Hidden Reality. Realistiska mordgåtor i kuvertformat. Lös cold cases hemma. Stort utbud hos Dragon’s Lair.,Discover Hidden Reality. Immersive cold case mysteries in envelope format. Solve cases at home. Available at Dragon’s Lair.
COLLECTION,688201564508,title,en,,,Samarbetsspel,Co-Op Games & Mysteries
COLLECTION,688201564508,meta_title,en,,,Samarbetsspel | Dragon’s Lair,Cooperative games | Dragon's Lair
COLLECTION,688201564508,meta_description,en,,,"Upplev spänningen i samarbetsspel! Lös mysterier och rädda världen tillsammans med ett roligt samarbetsspel – perfekt för spelkvällar med vänner och familj. 
","Experience the thrill of cooperative and escape games! Solve mysteries, save the world, and survive together. Perfect for game nights with friends and family!"
COLLECTION,688201597276,title,en,,,Fyndhörnan,Bargain corner
COLLECTION,688201597276,meta_title,en,,,Fyndhörnan – Spel & tillbehör till extra bra priser | Dragon’s Lair,Bargain Corner – Games & Accessories at Great Prices | Dragon’s Lair
COLLECTION,688201597276,meta_description,en,,,"Fynda brädspel, kortspel och tillbehör till oslagbara priser! Upptäck rabatterade produkter och unika erbjudanden i vår fyndhörna.","Find board games, card games, and accessories at unbeatable prices! Discover discounted products and exclusive deals in our bargain corner."
COLLECTION,688201630044,title,en,,,TILLFÄLLIGT UNDER INLÄSNING,TILLFÄLLIGT UNDER INLÄSNING
COLLECTION,688201662812,title,en,,,Mystery Boxes,Mystery Boxes
COLLECTION,688201662812,meta_title,en,,,Mystery Boxes,Mystery Boxes
COLLECTION,688201695580,title,en,,,Spel i Reseformat,Travel Size
