Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,15554390262108,body_html,en,,,"<p>The Dark Quarter är ett appdrivet, kooperativt äventyrsspel som tar dig till ett övernaturligt New Orleans på 1980-talet.</p>
<p>Som privatdetektiver på Beaumont Agency kliver ni rakt in i stadens mörkaste mysterier. Ni samarbetar för att lösa brutala brott där magi och verklighet smälter samman – från voodoo och förbannelser till blodiga mord med övernaturliga motiv.</p>
<p>Spelupplevelsen formas av era val, med djupa kampanjer där karaktärernas öden vävs samman med New Orleans själ. Varje agent är unik och spelar en viktig roll i berättelsens gång – inget scenario är det andra likt.</p>
<ul>
<li>Kooperativt berättelsespel för flera spelare</li>
<li>Appstyrt spel med röstskådespel och stämningsfull ljudbild</li>
<li>Magi, kriminalgåtor och moraliska dilemman</li>
<li>Djup kampanj med återkommande karaktärer</li>
<li>Spelarna formar berättelsen genom sina val</li>
</ul>
<p><strong>Sleeves <br>56st 44x68mm<br>95st 58x88mm<br>45st 148x105mm</strong></p>","<p>The Dark Quarter is a cooperative, app-driven adventure game set in a darkly magical version of 1980s New Orleans.</p>
<p>As agents of the Beaumont Agency, you’ll dive headfirst into the city's darkest secrets. Work together to solve grisly crimes where voodoo, curses, and supernatural forces blend with the harsh reality of the streets.</p>
<p>Your choices shape a branching narrative across campaign scenarios. Each character is essential to the unfolding story, with personal stakes and lasting consequences that tie their fate to the very soul of New Orleans.</p>
<ul>
<li>Cooperative storytelling game for multiple players</li>
<li>App-driven experience with voice acting and immersive sound</li>
<li>Magic, mystery, and moral complexity</li>
<li>Deep campaign with evolving character arcs</li>
<li>Decisions change the direction of the story</li>
</ul>
<p><strong>Sleeves </strong><br><strong>56st 44x68mm</strong><br><strong>95st 58x88mm</strong><br><strong>45st 148x105mm</strong></p>"
PRODUCT,15554390262108,meta_title,en,,,The Dark Quarter - Dragon's Lair - Stockholm,The Dark Quarter - Dragon's Lair - Stockholm
PRODUCT,15554390262108,meta_description,en,,,Kooperativt deckarspel i en övernaturlig 80-talsmiljö. Utforska mystik och mörker i The Dark Quarter – din nästa stora spelupplevelse.,Solve supernatural crimes in 1980s New Orleans. The Dark Quarter is a gripping co-op game with rich storytelling and moral choices.
PRODUCT,15554390294876,title,en,,,Tjuvhugg går igen - ett tredjepartssupplement till Drakar och Demoner,Tjuvhugg går igen - ett tredjepartssupplement till Drakar och Demoner
PRODUCT,15554390294876,meta_title,en,,,Tjuvhugg går igen - ett tredjepartssupplement till Drakar och Demoner,Tjuvhugg går igen - ett tredjepartssupplement till Drakar och Demoner
PRODUCT,15554390294876,meta_description,en,,,"Tjuvhugg går igen är ett fristående Drakar och Demoner-äventyr i Tjuvstaden. Intriger, dubbelspel och moraliska val i kampen mellan Sika‑ri och von Kraakels kriminella allians. Perfekt för spelgrupper som gillar mörka och komplexa scenarier.",A morally charged urban adventure where players are caught between House von Kraakel's schemes and the Sika‑ri's fight for control in the streets of Thievestown.
PRODUCT,15554390294876,metafield.custom.description_short,en,,,Tjuvhugg går igen är det första fristående äventyret i serien Äventyr i Tjuvstaden. Rollpersonerna hamnar mitt i konflikten mellan lönnmördarorganisationen Sika-ri och von Kraakel. Kan de rädda organisationen från undergång - och än viktigare - klarar de sig ur knipan med livet i behåll?,A morally charged urban adventure where players are caught between House von Kraakel's schemes and the Sika‑ri's fight for control in the streets of Thievestown.
PRODUCT,15554390393180,title,en,,,Tjuvar - ett tredjepartssupplement till Drakar och Demoner,Tjuvar - ett tredjepartssupplement till Drakar och Demoner
PRODUCT,15554390393180,meta_title,en,,,Tjuvar - ett tredjepartssupplement till Drakar och Demoner,Tjuvar - ett tredjepartssupplement till Drakar och Demoner
PRODUCT,15554390393180,meta_description,en,,,"Tjuvar – ett fristående Drakar och Demoner‑supplement. Skapa tjuvkaraktärer med nya yrken, släkte, organisationen Flygande hjulet och äventyret Torrlagd i mörka, urbana miljöer.","A packed thieves’ toolkit: new professions, guilds, a smuggling adventure (Parched), plus racial and archetype options—ideal for gritty urban campaigns."
PRODUCT,15554390393180,metafield.custom.description_short,en,,,"Katalogtext Tjuvar är den första delen i en serie handböcker som låter dig spela karaktärer på lagens skuggsida. I häftet hittar du förslag på olika arketyper du kan använda för dina rollpersoner, sex nya yrken, ett nytt släkte, regler för drycker och berusning, organisationen Flygande hjulet, tips till spelledaren över hur man bäst tar tillvara på en person som spelar tjuv, samt äventyret Torrlagd.","A packed thieves’ toolkit: new professions, guilds, a smuggling adventure (Parched), plus racial and archetype options—ideal for gritty urban campaigns."
PRODUCT,15554390425948,title,en,,,Lönnmördare - ett tredjepartssupplement till Drakar och Demoner,Lönnmördare - ett tredjepartssupplement till Drakar och Demoner
PRODUCT,15554390425948,meta_title,en,,,Lönnmördare - ett tredjepartssupplement till Drakar och Demoner,Lönnmördare - ett tredjepartssupplement till Drakar och Demoner
PRODUCT,15554390425948,meta_description,en,,,"Lönnmördare – ett tredjepartssupplement till Drakar och Demoner. Innehåller nya yrken, giftregler, Sika‑ri‑organisationen och äventyret Banketten för mörka, intrikatrika kampanjer.","A compact toolkit for assassin campaigns: new professions, poison rules, the Sika‑ri Order, and the tense adventure The Banquet—tailored for stealth and betrayal."
PRODUCT,15554390425948,metafield.custom.description_short,en,,,"Lönnmördare är den andra delen i en serie handböcker som låter dig spela karaktärer på lagens skuggsida. I häftet hittar du förslag på olika arketyper du kan använda för dina rollpersoner, sex nya yrken, regler för gifter och motgifter, organisationen Sika-ri, tips till spelledaren över hur man bäst tar tillvara på en person som spelar lönnmördare, samt äventyret Banketten.","A compact toolkit for assassin campaigns: new professions, poison rules, the Sika‑ri Order, and the tense adventure The Banquet—tailored for stealth and betrayal."
PRODUCT,15554390589788,title,en,,,D&D Starter Set: Heroes of the Borderlands,D&D Starter Set: Heroes of the Borderlands
PRODUCT,15554390589788,body_html,en,,,"<p>Dungeons &amp; Dragons Starter Set: Heroes of the Borderlands är en perfekt ingång till den klassiska fantasyvärlden D&amp;D. Det här spelet är utformat för 3–5 spelare och bjuder på snabb och samarbetsfokuserad underhållning för både nybörjare och erfarna äventyrare. Med tydliga regler, färdiga karaktärer och äventyr att hoppa rakt in i, kan ni komma igång på bara några minuter.</p>
<p>En spelare axlar rollen som spelledare (Dungeon Master), medan resten tar på sig rollerna som hjältar i en levande berättelse fylld av valmöjligheter och oväntade vändningar. Under spelets gång kommer ni att kämpa mot monster, utforska mystiska grottor och påverka ödet för hela Gränslandet.</p>
<p>Lådan innehåller allt ni behöver för att spela: tre äventyrshäften, åtta karaktärsblad med klassiska D&amp;D-klasser, snabbstartsguide, referenshäfte, fem stämningsskapande handouts (som en tavername­ny och butikskataloger), nio dubbelsidiga kartor,  11 tärningar, 210 spelkort och 273 brickor med allt från monster till terräng.</p>","<p>Dungeons &amp; Dragons Starter Set: Heroes of the Borderlands is the ultimate gateway to epic fantasy adventures. Designed for 3–5 players, it’s fast, cooperative, and ideal for both newcomers and seasoned adventurers. With ready-to-play content and streamlined setup, you’ll be exploring dungeons and battling monsters in no time.</p>
<p>One player becomes the Dungeon Master, guiding the others through an ever-evolving story full of danger, discovery, and heroic choices. Players fight goblins, explore shadowy forests, and shape the fate of the Borderlands—one quest at a time.</p>
<p>Inside the box, you’ll find three adventure booklets, eight character class boards featuring iconic classes, a quick-start guide, a reference booklet, five immersive in-world handouts, nine double-sided poster maps, a combat tracker, 11 dice, 210 cards (spells, items, monsters), and 273 tokens. Everything you need is here.</p>"
PRODUCT,15554390589788,meta_title,en,,,D&D Starter Set: Heroes of the Borderlands,D&D Starter Set: Heroes of the Borderlands
PRODUCT,15554390589788,meta_description,en,,,"Dungeons & Dragons Starter Set: Heroes of the Borderlands – ett komplett nybörjarpaket med äventyrsböcker, karaktärer, kartor, tärningar, tokens och kort. Perfekt för spelkvällar med familj och vänner.","A complete beginner-friendly D&D experience with ready-made characters, adventures, dice, maps, cards, and tokens—all in one box."
PRODUCT,15554390589788,metafield.custom.description_short,en,,,"Ett komplett och lättillgängligt startpaket för D&D – innehåller allt du behöver för att spela direkt, med färdiga äventyr, karaktärer, kort och kartor.","A complete beginner-friendly D&D experience with ready-made characters, adventures, dice, maps, cards, and tokens—all in one box."
PRODUCT,15554390622556,title,en,,,Digimon Card Game - Cyber Eden BT22 Booster,Digimon Card Game - Cyber Eden BT22 Booster
PRODUCT,15554390622556,body_html,en,,,"<p>Utforska en digital framtid med Digimon Card Game Booster Set BT-22: Cyber Eden! Denna expansion introducerar det nya och efterlängtade [CS]-temat (Cyber Sleuth) och bjuder på en spännande blandning av nya strategier och nostalgiska favoriter. Samlingen innehåller totalt 107 olika kort, däribland 12 Super Rare och 2 Secret Rare. Spelare kan förvänta sig kraftfulla Digimon som Agumon, Alphamon och Ouranosmon samt specialiserade Tamer-kort som Ami Aiba, Arata Sanada och Kyoko Kuremi – alla designade för att ge minneshantering och digivolution-fördelar. Varje booster pack innehåller 12 kort</p>","<p>Step into the digital world of the future with the Digimon Card Game Booster Set BT-22: Cyber Eden! This set introduces the highly anticipated [CS] (Cyber Sleuth) theme, blending innovative gameplay mechanics with beloved Digimon from across the franchise. With 107 total cards, including 12 Super Rare and 2 Secret Rare, players can build competitive decks featuring characters like Agumon, Alphamon, and Ouranosmon. Powerful Tamer cards such as Ami Aiba, Arata Sanada, and Kyoko Kuremi offer memory boosts and Digivolution advantages. Each booster pack contains 12 cards</p>"
PRODUCT,15554390622556,meta_title,en,,,Digimon Card Game - Cyber Eden BT22 Booster,Digimon Card Game - Cyber Eden BT22 Booster
PRODUCT,15554390622556,meta_description,en,,,"BT-22 Cyber Eden – 107 kort med CS-tema, 12 SR och 2 Secret Rare. Kraftfull expansion för samlare och tävlingsspelare.","BT-22 Cyber Eden – 107 cards, CS archetype, 12 SR, 2 Secret Rare. Strategic must-have for collectors and meta players."
PRODUCT,15554390622556,metafield.custom.description_short,en,,,"BT-22 Cyber Eden erbjuder 107 unika kort, inklusive 12 Super Rare och 2 Secret Rare. Fokuserar på Cyber Sleuth-temat med starka Tamer-kort och ikoniska Digimon. 12 kort per booster","BT-22 Cyber Eden includes 107 cards with 12 Super Rare and 2 Secret Rare. Features Cyber Sleuth theme, iconic Digimon, and powerful Tamer support. 12 cards per pack"
PRODUCT,15554390786396,title,en,,,A Role Playing Dice Set Metallic - Pink Rose,A Role Playing Dice Set Metallic - Pink Rose
PRODUCT,15554390786396,body_html,en,,,"<p>Ge ditt rollspel en elegant och sofistikerad känsla med detta tärningsset i metall –  Dessa tärningar har en stilren, matt silverfinish med vackra detaljer i varmt gulrosé, vilket skapar en unik och harmonisk färgkontrast vid spelbordet. Setet innehåller sju tärningar: D4, D6, D8, D10, D12, D20 och en procenttärning (D%). Tillverkade av slitstark zinklegering har de en behaglig tyngd och lång hållbarhet, vilket gör dem perfekta för långa spelsessioner. De tydligt präglade siffrorna säkerställer enkel läsbarhet, även under spelets mest intensiva ögonblick. Perfekta för Dungeons &amp; Dragons, Pathfinder och andra rollspel – detta tärningsset kombinerar klassisk metallisk design med en mjuk och stilfull färgpalett.</p>
<p> </p>","<p>Bring an elegant and sophisticated touch to your role-playing game with this metal dice set – ""Metal Yellow Rose"". These dice feature a sleek matte silver finish with beautiful warm yellow-rose accents, creating a unique and harmonious color contrast at the gaming table. The set includes seven dice: D4, D6, D8, D10, D12, D20, and a percentile die (D%). Made from durable zinc alloy, they have a satisfying weight and long-lasting durability, making them perfect for extended gaming sessions. The clearly engraved numbers ensure easy readability, even during the most intense moments of play. Ideal for Dungeons &amp; Dragons, Pathfinder, and other RPGs – this dice set combines classic metallic design with a soft and stylish color palette.</p>
<p> </p>"
PRODUCT,15554390786396,meta_title,en,,,A Role Playing Dice Set Metallic - Yellow Rose,A Role Playing Dice Set Metallic - Yellow Rose
PRODUCT,15554390786396,meta_description,en,,,"Tärningsset i metall med matt silverfinish och gulrosédetaljer, 7 tärningar för Dungeons & Dragons och andra rollspel, hållbara zinklegeringstärningar med tydliga siffror.","Metal dice set with matte silver finish and yellow-rose details, 7 dice for Dungeons & Dragons and other role-playing games, durable zinc alloy dice with clear numbers."
PRODUCT,15554390786396,metafield.custom.description_short,en,,,"Tärningsset i metall med matt silverfinish och gulrosédetaljer. Innehåller sju tärningar av slitstark zinklegering, perfekta för rollspel som Dungeons & Dragons.","Metal dice set with a matte silver finish and yellow-rose details. Includes seven dice made from durable zinc alloy, perfect for RPGs like Dungeons & Dragons."
PRODUCT,15554390819164,title,en,,,A Role Playing Dice Set Metallic - Purple/Pink Rose,A Role Playing Dice Set Metallic - Purple/Pink Rose
PRODUCT,15554390819164,body_html,en,,,"<p>Ge ditt rollspel en elegant och sofistikerad känsla med detta tärningsset i metall –  Dessa tärningar har en stilren, matt silverfinish med vackra detaljer i varmt gulrosé, vilket skapar en unik och harmonisk färgkontrast vid spelbordet. Setet innehåller sju tärningar: D4, D6, D8, D10, D12, D20 och en procenttärning (D%). Tillverkade av slitstark zinklegering har de en behaglig tyngd och lång hållbarhet, vilket gör dem perfekta för långa spelsessioner. De tydligt präglade siffrorna säkerställer enkel läsbarhet, även under spelets mest intensiva ögonblick. Perfekta för Dungeons &amp; Dragons, Pathfinder och andra rollspel – detta tärningsset kombinerar klassisk metallisk design med en mjuk och stilfull färgpalett.</p>
<p> </p>","<p>Bring an elegant and sophisticated touch to your role-playing game with this metal dice set – ""Metal Yellow Rose"". These dice feature a sleek matte silver finish with beautiful warm yellow-rose accents, creating a unique and harmonious color contrast at the gaming table. The set includes seven dice: D4, D6, D8, D10, D12, D20, and a percentile die (D%). Made from durable zinc alloy, they have a satisfying weight and long-lasting durability, making them perfect for extended gaming sessions. The clearly engraved numbers ensure easy readability, even during the most intense moments of play. Ideal for Dungeons &amp; Dragons, Pathfinder, and other RPGs – this dice set combines classic metallic design with a soft and stylish color palette.</p>
<p> </p>"
PRODUCT,15554390819164,meta_title,en,,,A Role Playing Dice Set Metallic - Yellow Rose,A Role Playing Dice Set Metallic - Yellow Rose
PRODUCT,15554390819164,meta_description,en,,,"Tärningsset i metall med matt silverfinish och gulrosédetaljer, 7 tärningar för Dungeons & Dragons och andra rollspel, hållbara zinklegeringstärningar med tydliga siffror.","Metal dice set with matte silver finish and yellow-rose details, 7 dice for Dungeons & Dragons and other role-playing games, durable zinc alloy dice with clear numbers."
PRODUCT,15554390819164,metafield.custom.description_short,en,,,"Tärningsset i metall med matt silverfinish och gulrosédetaljer. Innehåller sju tärningar av slitstark zinklegering, perfekta för rollspel som Dungeons & Dragons.","Metal dice set with a matte silver finish and yellow-rose details. Includes seven dice made from durable zinc alloy, perfect for RPGs like Dungeons & Dragons."
PRODUCT,15554391048540,title,en,,,A Role Playing Dice Set Metallic - Blue Comet,A Role Playing Dice Set Metallic - Blue Comet
PRODUCT,15554391048540,body_html,en,,,"<p>Ge ditt rollspel en elegant och sofistikerad känsla med detta tärningsset i metall –  Dessa tärningar har en stilren, matt silverfinish med vackra detaljer i varmt gulrosé, vilket skapar en unik och harmonisk färgkontrast vid spelbordet. Setet innehåller sju tärningar: D4, D6, D8, D10, D12, D20 och en procenttärning (D%). Tillverkade av slitstark zinklegering har de en behaglig tyngd och lång hållbarhet, vilket gör dem perfekta för långa spelsessioner. De tydligt präglade siffrorna säkerställer enkel läsbarhet, även under spelets mest intensiva ögonblick. Perfekta för Dungeons &amp; Dragons, Pathfinder och andra rollspel – detta tärningsset kombinerar klassisk metallisk design med en mjuk och stilfull färgpalett.</p>
<p> </p>","<p>Bring an elegant and sophisticated touch to your role-playing game with this metal dice set – ""Metal Yellow Rose"". These dice feature a sleek matte silver finish with beautiful warm yellow-rose accents, creating a unique and harmonious color contrast at the gaming table. The set includes seven dice: D4, D6, D8, D10, D12, D20, and a percentile die (D%). Made from durable zinc alloy, they have a satisfying weight and long-lasting durability, making them perfect for extended gaming sessions. The clearly engraved numbers ensure easy readability, even during the most intense moments of play. Ideal for Dungeons &amp; Dragons, Pathfinder, and other RPGs – this dice set combines classic metallic design with a soft and stylish color palette.</p>
<p> </p>"
PRODUCT,15554391048540,meta_title,en,,,A Role Playing Dice Set Metallic - Yellow Rose,A Role Playing Dice Set Metallic - Yellow Rose
PRODUCT,15554391048540,meta_description,en,,,"Tärningsset i metall med matt silverfinish och gulrosédetaljer, 7 tärningar för Dungeons & Dragons och andra rollspel, hållbara zinklegeringstärningar med tydliga siffror.","Metal dice set with matte silver finish and yellow-rose details, 7 dice for Dungeons & Dragons and other role-playing games, durable zinc alloy dice with clear numbers."
PRODUCT,15554391048540,metafield.custom.description_short,en,,,"Tärningsset i metall med matt silverfinish och gulrosédetaljer. Innehåller sju tärningar av slitstark zinklegering, perfekta för rollspel som Dungeons & Dragons.","Metal dice set with a matte silver finish and yellow-rose details. Includes seven dice made from durable zinc alloy, perfect for RPGs like Dungeons & Dragons."
PRODUCT,15554391114076,title,en,,,A Role Playing Dice Set Metallic - Rainbow Comet,A Role Playing Dice Set Metallic - Rainbow Comet
PRODUCT,15554391114076,body_html,en,,,"<p>Ge ditt rollspel en elegant och sofistikerad känsla med detta tärningsset i metall –  Dessa tärningar har en stilren, matt silverfinish med vackra detaljer i varmt gulrosé, vilket skapar en unik och harmonisk färgkontrast vid spelbordet. Setet innehåller sju tärningar: D4, D6, D8, D10, D12, D20 och en procenttärning (D%). Tillverkade av slitstark zinklegering har de en behaglig tyngd och lång hållbarhet, vilket gör dem perfekta för långa spelsessioner. De tydligt präglade siffrorna säkerställer enkel läsbarhet, även under spelets mest intensiva ögonblick. Perfekta för Dungeons &amp; Dragons, Pathfinder och andra rollspel – detta tärningsset kombinerar klassisk metallisk design med en mjuk och stilfull färgpalett.</p>
<p> </p>","<p>Bring an elegant and sophisticated touch to your role-playing game with this metal dice set – ""Metal Yellow Rose"". These dice feature a sleek matte silver finish with beautiful warm yellow-rose accents, creating a unique and harmonious color contrast at the gaming table. The set includes seven dice: D4, D6, D8, D10, D12, D20, and a percentile die (D%). Made from durable zinc alloy, they have a satisfying weight and long-lasting durability, making them perfect for extended gaming sessions. The clearly engraved numbers ensure easy readability, even during the most intense moments of play. Ideal for Dungeons &amp; Dragons, Pathfinder, and other RPGs – this dice set combines classic metallic design with a soft and stylish color palette.</p>
<p> </p>"
PRODUCT,15554391114076,meta_title,en,,,A Role Playing Dice Set Metallic - Yellow Rose,A Role Playing Dice Set Metallic - Yellow Rose
PRODUCT,15554391114076,meta_description,en,,,"Tärningsset i metall med matt silverfinish och gulrosédetaljer, 7 tärningar för Dungeons & Dragons och andra rollspel, hållbara zinklegeringstärningar med tydliga siffror.","Metal dice set with matte silver finish and yellow-rose details, 7 dice for Dungeons & Dragons and other role-playing games, durable zinc alloy dice with clear numbers."
PRODUCT,15554391114076,metafield.custom.description_short,en,,,"Tärningsset i metall med matt silverfinish och gulrosédetaljer. Innehåller sju tärningar av slitstark zinklegering, perfekta för rollspel som Dungeons & Dragons.","Metal dice set with a matte silver finish and yellow-rose details. Includes seven dice made from durable zinc alloy, perfect for RPGs like Dungeons & Dragons."
PRODUCT,15554391245148,title,en,,,A Role Playing Dice Set - Huge Dice Green Jade D6:25mm）,A Role Playing Dice Set - Huge Dice Green Jade D6:25mm）
PRODUCT,15554391245148,body_html,en,,,"<p>7 piece set ，include D20,D12,D10,D00,D8,D6,D4<br>Size: 25 mm<br><br></p>","<p>7 piece set ，include D20,D12,D10,D00,D8,D6,D4<br>Size:D20:14.9mm<br>        D12:13.2mm<br>        D10/D00:12.6mm<br>        D8:11.8mm<br>        D6:11.5mm<br>        D4:14.3mm<br>weight:12g</p>"
PRODUCT,15554391245148,meta_title,en,,,A Role Playing Dice Set,A Role Playing Dice Set
PRODUCT,15554391277916,title,en,,,Please Dont Burn my Village,Please Dont Burn my Village
PRODUCT,15554391277916,body_html,en,,,"<p>Please Don’t Burn My Village! är ett snabbt och taktiskt kortspel i Castle Panic-världen där du försöker muta en glupskt eldsprutande drake – innan din by blir aska.</p>
<p>Spelarna samlar på sig skattkort, köper nya på den svarta marknaden och mutar draken med rätt skatter vid rätt tillfälle. Men det gäller att tajma mutorna väl och sabotera för motspelarna, för när skatterna tar slut bränner draken alla byar – utom en. Blir det din?</p>
<ul>
<li>Taktiskt kortspel för 2–5 spelare</li>
<li>Spännande push-your-luck-mekanik</li>
<li>Spela ut set av skatter och påverka drakens preferenser</li>
<li>Köp kort från svarta marknaden och hindra andra spelares drag</li>
<li>Ett fristående spel i Castle Panic-universumet</li>
</ul>
<p><strong>Sleeves <br>109st 56x89mm</strong></p>","<p>Please Don’t Burn My Village! is a fast-paced tactical card game set in the world of Castle Panic, where you bribe a treasure-loving dragon to save your village from destruction.</p>
<p>Players collect treasure cards, shop at the black market, and time their bribes to win the dragon’s favor. With only one village surviving when the treasures run out, every decision counts. Will your village be spared?</p>
<ul>
<li>Tactical card game for 2–5 players</li>
<li>Features push-your-luck and set collection mechanics</li>
<li>Bribe the dragon with valuable treasures</li>
<li>Sabotage opponents through black market deals</li>
<li>A standalone title in the Castle Panic universe</li>
</ul>
<p><strong>Sleeves </strong><br><strong>109st 56x89mm</strong></p>"
PRODUCT,15554391277916,meta_title,en,,,Please Dont Burn my Village,Please Dont Burn my Village
PRODUCT,15554391277916,meta_description,en,,,"Samla skatter, muta draken och sabotera för dina motspelare i Please Don’t Burn My Village! – ett snabbt och listigt spel i Castle Panic-världen.",Bribe a greedy dragon and save your village in this fast-paced card game set in the Castle Panic world. For 2–6 players with tactical twist.
PRODUCT,15554391441756,title,en,,,Cretaceous Rails,Cretaceous Rails
